Source,Target,type,id,mention,Weight,who
1,95,Directed,0,mentioned,1,Hammonius
1,17,Directed,1,mentioned,5,Pompey
1,96,Directed,2,mentioned,3,Cn. Cornelius Lentulus Marcellinus
1,18,Directed,3,mentioned,2,Crassus
1,79,Directed,4,mentioned,1,P. Servilius Vatia Isauricus
1,97,Directed,5,mentioned,4,Bibulus
1,98,Directed,6,mentioned,4,Q. Hortensius
1,99,Directed,7,mentioned,3,L. Licinius Lucullus
1,100,Directed,8,mentioned,1,L. Afranius
1,101,Directed,9,mentioned,3,L. Volcatius Tullus
1,102,Directed,10,mentioned,2,P. Rutilius Lupus
1,103,Directed,11,mentioned,1,L. Scribonius Libo
1,104,Directed,12,mentioned,1,P. Plautius Hypsaeus
1,105,Directed,13,inferred,4,Ptolemy XII Auletes
1,106,Directed,14,mentioned,3,L. Caninius Gallus
1,107,Directed,15,mentioned,4,C. Porcius Cato
1,108,Directed,16,mentioned,1,Aulus Trebonius
1,109,Directed,17,mentioned,1,T. Ampius
1,3,Directed,18,mentioned,1,C. Scribonius Curio
1,110,Directed,19,mentioned,1,Q. Selicius
1,17,Directed,20,inferred,1,Pompey
1,111,Directed,21,mentioned,2,Milo
1,52,Directed,22,mentioned,1,Pollio
1,105,Directed,23,mentioned,1,Ptolemy XII Auletes
1,112,Directed,24,mentioned,1,Racilius
1,113,Directed,25,mentioned,1,Clodius
1,37,Directed,26,mentioned,2,Caesar
1,65,Directed,27,mentioned,2,Furius Crassipes
1,114,Directed,28,mentioned,1,Spinther's son
1,85,Directed,29,inferred,1,Tullia
1,115,Directed,30,mentioned,1,M. Plaetorius
1,37,Directed,31,inferred,1,Caesar
1,18,Directed,32,inferred,1,Crassus
1,8,Directed,33,mentioned,1,Appius Claudius Pulcher
1,19,Directed,34,mentioned,1,P. Vatinius
1,116,Directed,35,mentioned,1,P. Sextius
1,91,Directed,36,mentioned,1,Quintus
1,117,Directed,37,mentioned,1,L. Marcius Phillipus
1,118,Directed,38,mentioned,1,L. Vibulliua Rufus
1,119,Directed,39,mentioned,1,Q. Metellus Numidicus
1,120,Directed,40,mentioned,1,L. Metellus
1,121,Directed,41,mentioned,1,M. Scaurus
1,87,Directed,42,mentioned,1,M. Cato Uticensis
1,122,Directed,43,mentioned,1,Aulus Gabinius
1,123,Directed,44,mentioned,1,Menocritus
1,124,Directed,45,mentioned,1,Q. Mucius Scaevola
1,113,Directed,46,inferred,1,Clodius
1,107,Directed,47,inferred,1,C. Porcius Cato
2,1,Directed,48,mentioned,1,Spinther
3,126,Directed,49,inferred,1,C. Scribonius Curio Burbilieus
3,125,Directed,50,mentioned,1,Setus Villius
3,111,Directed,51,mentioned,1,Milo
4,17,Directed,52,mentioned,3,Pompey
4,106,Directed,53,mentioned,1,L. Caninius Gallus
