Source,Target,Type,id,Label,weight
0,1,Directed,0,four hundred and sixty-one to four hundred and seventy,10
0,2,Directed,1,zero to ten,1
0,3,Directed,2,one hundred and twenty-one to one hundred and thirty,7
0,4,Directed,3,one hundred and thirty-one to one hundred and forty,9
4,0,Directed,4,none,17
0,5,Directed,5,negative ten to zero,1
0,6,Directed,6,ninety-one to one hundred,6
0,7,Directed,7,eleven to twenty,1
0,8,Directed,8,four hundred and fifty-one to four hundred and sixty,13
0,9,Directed,9,three hundred and eighty-one to three hundred and ninety,18
9,0,Directed,10,none,2
0,10,Directed,11,sixty-one to seventy,5
11,0,Directed,12,none,1
0,12,Directed,13,thirty-one to forty,1
0,13,Directed,14,forty-one to fifty,2
14,0,Directed,15,none,2
0,14,Directed,16,forty-one to fifty,2
0,15,Directed,17,twenty-one to thirty,1
0,16,Directed,18,eleven to twenty,1
0,17,Directed,19,eleven to twenty,1
0,18,Directed,20,forty-one to fifty,1
19,0,Directed,21,none,3
0,19,Directed,22,eleven to twenty,1
0,20,Directed,23,fifty-one to sixty,3
20,0,Directed,24,none,1
0,21,Directed,25,Lowest,1
0,22,Directed,26,eleven to twenty,1
0,23,Directed,27,zero to ten,2
0,24,Directed,28,ninety-one to one hundred,3
0,25,Directed,29,negative ten to zero,4
0,26,Directed,30,one hundred and one to one hundred and ten,3
26,0,Directed,31,none,1
0,27,Directed,32,twenty-one to thirty,1
0,28,Directed,33,seventy-one to eighty,3
0,29,Directed,34,fifty-one to sixty,1
0,30,Directed,35,fifty-one to sixty,2
0,31,Directed,36,eleven to twenty,1
32,0,Directed,37,none,1
0,32,Directed,38,eleven to twenty,1
0,33,Directed,39,zero to ten,2
0,34,Directed,40,eleven to twenty,2
0,35,Directed,41,twenty-one to thirty,1
0,36,Directed,42,forty-one to fifty,4
0,37,Directed,43,ninety-one to one hundred,3
0,38,Directed,44,one hundred and forty-one to one hundred and fifty,17
0,39,Directed,45,twenty-one to thirty,4
0,40,Directed,46,zero to ten,3
40,0,Directed,47,none,1
0,41,Directed,48,thirty-one to forty,2
0,42,Directed,49,zero to ten,8
43,0,Directed,50,none,1
0,43,Directed,51,one hundred eleven to one hundred and twenty,5
0,44,Directed,52,ninety-one to one hundred,12
0,45,Directed,53,three hundred and thirty-one to three hundred and forty,14
45,0,Directed,54,none,10
45,46,Directed,55,none,1
0,47,Directed,56,eleven to twenty,2
0,48,Directed,57,eleven to twenty,1
48,0,Directed,58,none,2
0,49,Directed,59,one hundred and one to one hundred and ten,3
49,0,Directed,60,none,1
0,50,Directed,61,zero to ten,1
51,0,Directed,62,none,1
52,0,Directed,63,none,3
48,53,Directed,64,none,1
54,55,Directed,65,none,1
54,56,Directed,66,none,1
55,57,Directed,67,none,2
56,57,Directed,68,none,2
54,0,Directed,69,none,10
0,54,Directed,70,one hundred eleven to one hundred and twenty,14
0,58,Directed,71,forty-one to fifty,1
58,0,Directed,72,none,1
0,59,Directed,73,twenty-one to thirty,1
0,56,Directed,74,one hundred and eighty-one to one hundred and ninety,15
56,0,Directed,75,none,3
0,60,Directed,76,one hundred and eighty-one to one hundred and ninety,15
0,61,Directed,77,negative ten to zero,3
0,62,Directed,78,one hundred and forty-one to one hundred and fifty,4
0,63,Directed,79,thirty-one to forty,1
0,64,Directed,80,eleven to twenty,1
0,65,Directed,81,fifty-one to sixty,1
0,55,Directed,82,one hundred and forty-one to one hundred and fifty,5
0,66,Directed,83,one hundred and fifty-one to one hundred and sixty,11
0,67,Directed,84,twenty-one to thirty,1
0,68,Directed,85,thirty-one to forty,2
0,69,Directed,86,eleven to twenty,2
0,70,Directed,87,twenty-one to thirty,2
0,71,Directed,88,one hundred and thirty-one to one hundred and forty,6
0,72,Directed,89,eleven to twenty,1
0,73,Directed,90,eleven to twenty,1
0,74,Directed,91,eleven to twenty,1
0,75,Directed,92,zero to ten,1
0,76,Directed,93,zero to ten,1
0,77,Directed,94,zero to ten,1
0,78,Directed,95,eleven to twenty,1
0,79,Directed,96,one hundred and one to one hundred and ten,7
0,80,Directed,97,zero to ten,2
0,81,Directed,98,eleven to twenty,1
0,82,Directed,99,zero to ten,1
0,92,Directed,100,zero to ten,1
0,83,Directed,101,thirty-one to forty,2
0,93,Directed,102,thirty-one to forty,1
0,84,Directed,103,two hundred and ninety to three hundred,24
0,85,Directed,104,one hundred and eighty-one to one hundred and ninety,9
0,86,Directed,105,seventy-one to eighty,4
86,0,Directed,106,none,2
0,87,Directed,107,one hundred eleven to one hundred and twenty,3
87,0,Directed,108,none,1
0,46,Directed,109,eighty-one to ninety,2
0,88,Directed,110,fifty-one to sixty,3
0,94,Directed,111,eleven to twenty,1
0,89,Directed,112,fifty-one to sixty,2
0,90,Directed,113,three hundred and one to three hundred and ten,21
91,90,Directed,114,none,3
86,90,Directed,115,none,2
91,0,Directed,116,none,1
