letter,date,datestart,dateend,cicero_location,pleiades_cicero_loc_id,sender,correspondent,Correspondent location,pleiades_correspondent_loc_id,Correspondent's Transient Location,pleiades_correspondent_transient_loc_id,Other Personal Names,Inferred Names,Slaves and Freed People,Literary/Historical References,Other Locations in Letter,pleiades_other_letter_id,Peoples of a Nation,pleiades_peoples_id
Fam. 1.1,January 13 56 BCE,-1.13.56,-1.13.56,Rome,423025,Cicero,P. Lentulus Spinther,Cilicia,628957,,,Hammonius; Cn. Pompeius Magnus; Cn. Cornelius Lentulus Marcellinus; Marcus Licinius Crassus; Marcus Calpurnius Bibulus; Quintus Hortensius; Lucius Licinius Lucullus; Lucius Afranius; Lucius Volcatius Tullus; Publius Servilius Vatia Isauricus; P. Rutilius Lupus; L. Scribonius Libo; P. Plautius Hypsaeus,Ptolemy XII Auletes,,,,,,
Fam. 1.2,January 15 56 BCE,-1.15.56,-1.15.56,Rome,423025,Cicero,P. Lentulus Spinther,Cilicia,628957,,,Quintus Hortensius; Marcus Calpurnius Bibulus; Lucius Volcatius Tullus; Cn. Pompeius Magnus; P. Rutilius Lupus; Lucius Caninius Gallus; C. Porcius Cato; Cn. Cornelius Lentulus Marcellinus,Ptolemy XII Auletes,,,,,,
Fam. 1.3,January 56 BCE,-1.1.56,-1.31.56,Rome,423025,Cicero,P. Lentulus Spinther,Cilicia,628957,,,Aulus Trebonius; T. Ampius,,,,,,,
Fam. 1.4,January 17 56 BCE,-1.17.56,-1.17.56,Rome,423025,Cicero,P. Lentulus Spinther,Cilicia,628957,,,Marcus Calpurnius Bibulus;  Lucius Volcatius Tullus; Lucius Caninius Gallus; C. Porcius Cato; C. Scribonius Curio,,,,Alexandria,727070,,
Fam. 1.5a,February 1;7 56 BCE,-2.1.56,-2.7.56,Rome,423025,Cicero,P. Lentulus Spinther,Cilicia,628957,,,C. Porcius Cato; Q. Selicius,Ptolemy XII Auletes; Cn. Pompeius Magnus,,,Alexandria,727070,,
Fam. 1.5b,February 56 BCE post 9,-2.9.56,-2.28.56,Rome,423025,Cicero,P. Lentulus Spinther,Cilicia,628957,,,Cn. Pompeius Magnus; T. Annius Milo; C. Porcius Cato; Quintus Hortensius;  Lucius Licinius Lucullus,Ptolemy XII Auletes,,,Alexandria,727070,,
Fam. 1.6,middle of February 56 BCE,-2.15.56,-2.28.56,Rome,423025,Cicero,P. Lentulus Spinther,Cilicia,628957,,,C. Asinius Pollio,,,, ,,Greeks,1001896
Fam. 1.7,end of August 56 BCE,-8.20.56,-8.31.56,Rome,423025,Cicero,P. Lentulus Spinther,Cilicia,628957,,,Quintus Hortensius; Lucius Licinius Lucullus; L. Racilius; Cn. Pompeius Magnus; Lucius Caninius Gallus;  Ptolemy XII Auletes; T. Annius Milo; Publius Clodius Pulcher; C. Julius Caesar; P. Furius Crassipes; P. Cornelius Lentulus Spinther Minor,Tullia,,Sibyl,Alexandria; Cyprus; Ptolemais,727070; 981516; 639073,,
Fam. 1.8,January 55 BCE,-1.1.55,-1.31.55,Rome,423025,Cicero,P. Lentulus Spinther,Cilicia,628957,,,Cn. Pompeius Magnus; M. Plaetorius,C. Julius Caesar; Marcus Licinius Crassus,,,,,,
Fam. 1.9,December 54 BCE,-12.1.54,-12.31.54,Rome,423025,Cicero,P. Lentulus Spinther,Cilicia,628957,,,C. Julius Caesar; Appius Claudius Pulcher; P. Vatinius; P. Sextius; Marcus Calpurnius Bibulus; Cn. Cornelius Lentulus Marcellinus; Lucius Marcius Phillipus; Marcus Licinius Crassus; Quintus Tullius Cicero; L. Vibullius Rufus; Q. Metellus Numidicus; L. Metellus; M. Scaurus; Marcus Porcius Cato Uticensis; Aulus Gabinius; Furius Crassipes; Menocritus; Q. Mucius Scaevola,C. Porcius Cato; Publius Clodius Pulcher,Menocritus (slave or freedman of Spinther),Lucius Cornelius Cinna; Plato; Apelles; Publius Terentius Afer; Aristotle; Isocrates,Campania;  Africa; Luca; Sardinia; Ravenna; Hispania (Eastern Spain); all of Italy; Athens,991350; 775; 403234; 472014; 393480; 1027; 1052; 579885,,
Fam. 1.10,54 BCE,-1.1.54,-12.31.54,Rome,423025,Cicero,L. Valerius,Cilicia,628957,,,P. Lentulus Spinther,,,Ulysses ,Apulia,442469,,
Fam. 2.1,Early 53 BCE,-1.1.53,-2.28.53,Rome,423025,Cicero,C. Scribonius Curio,Asia,991380,,,,,,,,,,
Fam. 2.2,53 BCE (Feb?),-2.1.53,-2.28.53,Rome,423025,Cicero,C. Scribonius Curio,Asia,991380,,,,Caius Scribonius Curio Burbulieus,,,,,,
Fam. 2.3,53 BCE (Feb?),-2.1.53,-2.28.53,Rome,423025,Cicero,C. Scribonius Curio,Asia,991380,,,,,Rupa (freedman),,,,,
Fam. 2.4,53 BCE (May?),-5.1.53,-5.31.53,Rome,423025,Cicero,C. Scribonius Curio,Asia,991380,,,, ,,,,,,
Fam. 2.5,53 BCE (June?),-6.1.53,-6.30.53,Rome,423025,Cicero,C. Scribonius Curio,Asia,991380,,,,,,,,,,
Fam. 2.6,July 53 BCE,-7.1.53,-7.31.53,Rome,423025,Cicero,C. Scribonius Curio,NA,,from Asia to Italy,991380; 423025,Sextus Villius; T. Annius Milo,,,,Asia,991380,,
Fam. 2.7,December 19 51 BCE,-12.19.51,-12.19.51,Pindenissum,662197,Cicero,C. Scribonius Curio,Rome,423025,,,,,Thraso (freedman),,,,,
Fam. 2.8,July 6 51 BCE,-7.6.51,-7.6.51,Athens,579885,Cicero,M. Caelius Rufus,Rome,423025,,,Cn. Pompeius Magnus; Lucius Caninius Gallus,,Chrestus (agent of Caelius),,,,,
Fam. 2.9,October 7; 13 51 BCE,-10.7.51,-10.13.51,Mopsuhestia (Cilicia Compestris on both banks of the Pyramus),658538,Cicero,M. Caelius Rufus,Rome,423025,,,,Hirrus,,,,,,
Fam. 2.10,Novemeber 14; 51 BCE,-11.14.51,-11.14.51,Pindenissum,662197,Cicero,M. Caelius Rufus,Rome,423025,,,Hirrus; Marcus Calpurnius Bibulus; C. Cassius Longinus,,,Clitarchus; Darius III; Alexander the Great,Amanus; Antioch; Issus,658376; 658381; 658490,Parthians,952097
Fam. 2.11,April 4 50 BCE,-4.4.50,-4.4.50,Laodicae,897792,Cicero,M. Caelius Rufus,Rome,423025,,,Patiscus,,,,Caria,991381,,
Fam. 2.12,late June 50 BCE,-6.18.50,-6.30.50,Pyramus,658576,Cicero,M. Caelius Rufus,Rome,423025,,,Diogenes; Adjatorix,C. Scribonius Curio,Philo (freedman of Caelius),,Pessinus,652364,,
Fam. 2.13,early May 50 BCE,-5.1.50,-5.7.50,Laodicae,897792,Cicero,M. Caelius Rufus,Rome,423025,,,Appius Claudius Pulcher; Cn. Pompeius Magnus; Marcus Junius Brutus; Publius Cornelius Dolabella; C. Julius Caesar; C. Scribonius Curio,Claudia (daughter of Appius; the other two daughters' names are unknown),Phania (freedman of Appius),,Cilicia,628957,,
Fam. 2.14,mid March 50 BCE,-3.13.50,-3.18.50,Laodicae,897792,Cicero,M. Caelius Rufus,Rome,423025,,,Marcus Fadius Gallus,,,,,,,
Fam. 2.15,early August 50 BCE,-9.3.50,-9.15.50,Sida,494603,Cicero,M. Caelius Rufus,Rome,423025,,,C. Scribonius Curio; Publius Cornelius Dolabella; Tullia; C. Julius Caesar;  Appius Claudius Pulcher; Cn. Pompeius Magnus; Q. Cassius Longinus; Marcus Antonius; Quintus Tullius Cicero; C. Pomptinus; Ocella (L. Livius Ocella? Se<r>vius Ocella); Decimus Matrinius (?),Hirrus; Marcus Porcius Cato Uticensis,,,Asia; Mount Taurus,991380; 649792,,
